id;entorno;nombre;etapa;tipo;area_responsable;descripcion;monto_contrato;comuna;barrio;direccion;lat;lng;fecha_inicio;fecha_fin_inicial;plazo_meses;porcentaje_avance;imagen_1;imagen_2;imagen_3;imagen_4;licitacion_oferta_empresa;licitacion_anio;contratacion_tipo;nro_contratacion;cuit_contratista;beneficiarios;mano_obra;compromiso;destacada;ba_elige;link_interno;pliego_descarga;expediente-numero;estudio_ambiental_descarga;financiamiento
19;Parque Olí?mpico;Parque Olí?mpico: Pabellones A3 Y A4.;Finalizada;Arquitectura;Secretarí?a de Transporte y Obras Públicas;Se realizaron obras de los pabellones que incluyeron la infraestructura deportiva para los Juegos Olí?mpicos.;168646366;8;Villa Soldati;AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.;-34,67389687;-58,43605975;15/2/2017;12/1/2018;11;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/20-1.jpg;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/20-2.jpg;;;Criba S.A.;2016;Licitación Pública;1191-SIGAF/16;30505454436;;;;;;https://www.buenosaires.gob.ar/baobras/Parque-Olí?mpico;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/253;EX-2016-24004750-MGEYA-DGIURB;;
20;Parque Olí?mpico;Parque Olí?mpico: Espacio público, equipamiento deportivo exterior;Finalizada;Espacio Público;Secretarí?a de Transporte y Obras Públicas;Se contempló la reacondición y modernización del espacio público y equipamiento deportivo exterior. Las áreas deportivas que se encuentran al aire libre incluyeron: 2 pistas de atletismo, canchas de hockey, beach handball, beach voley y basquet. Además, se puso en valor el pórtico de acceso al parque olí?mpico, la construcción de una cabina de control con su sector de servicios y la rehabilitación de la torre tanque acondicionada e incluida al sistema de protección contra incendios.;349706395;8;Villa Soldati;AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.;-34,67389687;-58,43605975;7/6/2017;30/10/2018;16;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/21-1.jpg;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/21-2.jpg;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/21-3.jpg;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/21-4.jpg;Conorvial S.A;2017;Licitación Pública;266/2017;33504596309;;;;;;https://www.buenosaires.gob.ar/baobras/Parque-Olí?mpico;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/271;27359314-DGIURB-2016;;
21;Parque Olí?mpico;Parque Olí?mpico: Pabellón C.;Finalizada;Arquitectura;Secretarí?a de Transporte y Obras Públicas;Se realizaron obras en el Pabellón C que consistieron en la ejecución del complejo natatorio, incluyendo una piscina de saltos con plataformas, una piscina de nado de ocho carriles y las instalaciones complementarias para la realización de las competencias, sala de cronometraje, sanitarios, salas de musculación y preparación de deportistas, salas de máquinas y gradas para espectadores.;508091151;8;Villa Soldati;AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.;-34,67389687;-58,43605975;25/4/2017;30/6/2018;14;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/22-1.jpg;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/22-2.jpg;;;Niro Construcciones S.A.;2017;Licitación Pública;36/ 2017;33588171979;;;;;;https://www.buenosaires.gob.ar/baobras/Parque-Olí?mpico;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/257;EX-2016- 25.688.941í¢Â€Â“MGEYA-DGIURB;;
22;Villa Olí?mpica;Villa Olimpica: Ejecución Baños En Locales Comerciales En Edificios Villa Olí?mpica;Finalizada;Arquitectura;Corporación Buenos Aires Sur;La Obra Consiste En La Ejecución De Seis Núcleos Sanitarios En Sector De Locales Comerciales En Cinco De Los Edificios De Villa Olí?mpica ;1686743;8;Villa Lugano;Escalada Av. 4200;-34,675641;-58,454314;19/11/2018;19/1/2019;2;100;;;;;Bosquimano S.A;2018;Contratación Directa;54-CBAS-2018;30711470022;vecinos;;;;;;;;;
23;Villa Olí?mpica;Villa Olimpica: Readecuación  Locales Planta Baja Edificios UG7 Villa Olí?mpica;Finalizada;Arquitectura;Corporación Buenos Aires Sur;La Obra Consiste En La Readecuación De Locales De Planta Baja En Edifio UG7 De Villa Olí?mpica ;3118410;8;Villa Lugano;Escalada Av. 4200;-34,675641;-58,454314;5/2/2019;6/4/2019;1;100;;;;;CM CONSTRUCCIONES SA;2019;Contratación Directa;57-CBAS-2018;30714322660;vecinos;;;;;;;;;
24;Villa Olí?mpica;Villa Olimpica: Provisión Y Colocación De Equipamiento De Cocina En Edificios UG7 P3 Y P4 Villa Olí?mpica;Finalizada;Vivienda;Corporación Buenos Aires Sur;La Obra Consiste En La Provisión y Colocación de Equipamiento de Cocina En Los Edificios UG7 P3 y P4 - Villa Olí?mpica; 6595600;8;Villa Lugano;Escalada Av. 4200;-34,675641;-58,454314;2/1/2019;11/2/2019;1,33;100;;;;;MIAVASA SA;2019;Licitación Privada;01-CBAS-2018;30677303863;vecinos;;;;;;;;;
25;Parque Olí?mpico;Parque Olí?mpico: Pabellón B.;Finalizada;Arquitectura;Secretarí?a de Transporte y Obras Públicas;La obra consistió en la construcción del Pabellón C que albergó a la competencia de gimnasia artí?stica y cuentu su vez con los servicios necesarios para su funcionamiento, como vestuarios, baños generales, oficinas y los espacios necesarios de logí?stica, enfermerí?a y doping.;283389377;8;Villa Soldati;AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.;-34,67389687;-58,43605975;5/8/2017;30/6/2018;10;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/27-1.jpg;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/27-2.jpg;;;Criba S.A.;2017;Licitación Pública;35 /17;30505454436;;;;;;https://www.buenosaires.gob.ar/baobras/Parque-Olí?mpico;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/258;24.005.383-DGIURB-2016;;
26;Parque Olí?mpico;Parque Olí?mpico: Infraestructura eléctrica.;Finalizada;Hidráulica e Infraestructura;Secretarí?a de Transporte y Obras Públicas;La licitación contempló el reacondicionamiento y modernización de las instalaciones existentes en el Parque Olí?mpico y la ejecución de la nueva red para la distribución de energí?a de los pabellones y edificios administrativos. La obra incluyó una sub estación de entrada de energí?a, grupo electrógeno de emergencia, transformadores elevadores de tensión e instalaciones de alimentación en los edificios.;54936733;8;Villa Soldati;AUTOPISTA PRESIDENTE HECTOR J. CAMPORA Y 27 DE FEBRERO AV.;-34,67389687;-58,43605975;13/2/2017;30/5/2018;15;100;https://cdn2.buenosaires.gob.ar/desarrollourbano/observatorio-de-obras/imagenesobservatorio/parqueolimpicoinfraestructuraelectrica.JPG;;;;Urban Baires S.A.;2016;Licitación Pública;1035-SIGAF/16;30711290075;;;;;;https://www.buenosaires.gob.ar/baobras/Parque-Olí?mpico;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/242;EX-2016- 20669799-DGIURB;;
27;Villa Olí?mpica;Villa Olimpica: Movimiento De Suelo Y Tareas De Mantenimiento De Espacios Verdes, Manzanas 123A - 123B - 123E - 123I- 123M;Finalizada;Espacio Público;Corporación Buenos Aires Sur;La Obra Consiste En La Nivelación De Los Terrenos Que Se Encuentran Conformados Por El Espacio Urbano De La Villa Olí?mpica;13671988;8;Villa Lugano;Escalada Av. 4200;-34,672645;-58,454314;6/8/2018;4/11/2018;3;100;;;;;MIAVASA SA;2018;Contratación Directa;45-CBAS-2018;30677303863;vecinos;;;;;;;;;
28;Villa Olí?mpica;Villa Olimpica: Pintura Interior Departamentos Edificio UG1:P1-P4-P6-P9, UG2:P1-P3-P5-P7, UG3:P1-P2-P3-P5-P8, UG4:P1-P2-P3-P6-P7-P8, UG5:P1-P2-P3-P4-P5-P6-P7-P8-P9-P10, UG7: P3-P4;Finalizada;Arquitectura;Corporación Buenos Aires Sur;La obra consiste en la pintura de paredes, puertas interiores y puertas de chapa de todas las unidades funcionales de Los Edificio UG1-UG2-UG3-UG4 UG5 Y UG7 de la Villa Olí?mpica.;150333723;8;Villa Lugano;Escalada Av. 4200;-34,675641;-58,454314;30/11/2018;29/5/2019;6;100;;;;;CM CONSTRUCCIONES SA;2018;Contratación Directa;41-CBAS-2018;30714322660;vecinos;;;;;;;;;
